Filename,Mean Color
0065.png,"(87, 98, 93)"
0071.png,"(118, 136, 105)"
0059.png,"(102, 107, 94)"
0111.png,"(111, 125, 102)"
0105.png,"(149, 161, 104)"
0139.png,"(117, 92, 29)"
0138.png,"(90, 97, 67)"
0104.png,"(137, 137, 103)"
0110.png,"(102, 107, 116)"
0058.png,"(120, 75, 91)"
0070.png,"(66, 64, 54)"
0064.png,"(91, 72, 73)"
0099.png,"(106, 79, 77)"
0072.png,"(118, 118, 72)"
0066.png,"(82, 94, 69)"
0106.png,"(112, 74, 32)"
0112.png,"(75, 73, 66)"
0113.png,"(130, 89, 29)"
0107.png,"(108, 71, 80)"
0067.png,"(143, 125, 104)"
0073.png,"(141, 123, 116)"
0098.png,"(126, 154, 131)"
0088.png,"(93, 93, 82)"
0077.png,"(149, 138, 130)"
0063.png,"(141, 130, 88)"
0103.png,"(81, 81, 73)"
0117.png,"(155, 71, 108)"
0116.png,"(107, 90, 110)"
0102.png,"(97, 72, 23)"
0062.png,"(159, 61, 66)"
0076.png,"(114, 119, 121)"
0089.png,"(107, 106, 68)"
0048.png,"(89, 98, 89)"
0060.png,"(153, 67, 100)"
0074.png,"(125, 121, 94)"
0128.png,"(109, 94, 87)"
0114.png,"(158, 128, 117)"
0100.png,"(112, 113, 118)"
0101.png,"(131, 91, 68)"
0115.png,"(101, 115, 89)"
0129.png,"(117, 72, 85)"
0075.png,"(94, 96, 104)"
0061.png,"(146, 101, 41)"
0049.png,"(127, 105, 114)"
0204.png,"(85, 138, 60)"
0210.png,"(69, 130, 50)"
0006.png,"(120, 104, 82)"
0012.png,"(104, 85, 84)"
0199.png,"(113, 111, 70)"
0172.png,"(99, 115, 76)"
0166.png,"(147, 126, 52)"
0167.png,"(131, 150, 148)"
0173.png,"(98, 111, 54)"
0198.png,"(98, 97, 86)"
0013.png,"(142, 80, 125)"
0007.png,"(69, 71, 69)"
0205.png,"(101, 114, 86)"
0207.png,"(126, 90, 106)"
0011.png,"(100, 110, 90)"
0005.png,"(170, 76, 92)"
0039.png,"(136, 103, 38)"
0165.png,"(121, 80, 90)"
0171.png,"(123, 115, 58)"
0159.png,"(83, 117, 42)"
0158.png,"(97, 107, 93)"
0170.png,"(107, 119, 91)"
0164.png,"(95, 79, 27)"
0038.png,"(127, 129, 137)"
0004.png,"(167, 108, 135)"
0010.png,"(127, 84, 102)"
0206.png,"(111, 135, 49)"
0202.png,"(112, 136, 86)"
0028.png,"(113, 131, 104)"
0014.png,"(115, 133, 124)"
0148.png,"(76, 82, 66)"
0160.png,"(88, 128, 83)"
0174.png,"(104, 98, 56)"
0175.png,"(123, 86, 99)"
0161.png,"(70, 84, 58)"
0149.png,"(116, 106, 40)"
0001.png,"(123, 63, 64)"
0015.png,"(108, 94, 22)"
0029.png,"(104, 111, 60)"
0203.png,"(117, 122, 93)"
0201.png,"(97, 111, 40)"
0003.png,"(126, 80, 26)"
0017.png,"(131, 109, 111)"
0188.png,"(160, 93, 96)"
0177.png,"(133, 104, 88)"
0163.png,"(90, 134, 38)"
0162.png,"(122, 120, 75)"
0176.png,"(80, 82, 72)"
0189.png,"(100, 111, 74)"
0016.png,"(184, 99, 99)"
0002.png,"(139, 78, 135)"
0200.png,"(63, 68, 57)"
0027.png,"(132, 75, 30)"
0033.png,"(102, 110, 93)"
0190.png,"(87, 77, 22)"
0184.png,"(138, 139, 70)"
0153.png,"(92, 99, 37)"
0147.png,"(93, 67, 73)"
0146.png,"(163, 160, 122)"
0152.png,"(79, 80, 74)"
0185.png,"(102, 104, 123)"
0191.png,"(98, 101, 90)"
0032.png,"(85, 81, 62)"
0026.png,"(134, 125, 120)"
0030.png,"(147, 118, 87)"
0024.png,"(95, 98, 88)"
0018.png,"(88, 56, 57)"
0187.png,"(122, 105, 75)"
0193.png,"(147, 66, 72)"
0144.png,"(80, 88, 71)"
0150.png,"(98, 113, 55)"
0178.png,"(83, 84, 77)"
0179.png,"(99, 90, 49)"
0151.png,"(112, 90, 31)"
0145.png,"(125, 94, 35)"
0192.png,"(104, 98, 21)"
0186.png,"(127, 84, 82)"
0019.png,"(106, 108, 99)"
0025.png,"(94, 105, 84)"
0031.png,"(128, 147, 122)"
0009.png,"(144, 69, 77)"
0035.png,"(97, 108, 40)"
0021.png,"(126, 87, 31)"
0182.png,"(88, 97, 94)"
0196.png,"(75, 79, 27)"
0169.png,"(116, 94, 54)"
0141.png,"(99, 118, 56)"
0155.png,"(103, 106, 53)"
0154.png,"(83, 85, 69)"
0140.png,"(81, 81, 75)"
0168.png,"(110, 105, 64)"
0197.png,"(86, 88, 63)"
0183.png,"(123, 77, 89)"
0020.png,"(118, 126, 108)"
0034.png,"(83, 91, 74)"
0008.png,"(180, 51, 81)"
0208.png,"(94, 90, 84)"
0022.png,"(80, 80, 76)"
0036.png,"(100, 87, 75)"
0195.png,"(144, 82, 114)"
0181.png,"(116, 87, 80)"
0156.png,"(107, 141, 76)"
0142.png,"(113, 116, 99)"
0143.png,"(95, 109, 91)"
0157.png,"(104, 103, 33)"
0180.png,"(135, 112, 14)"
0194.png,"(119, 128, 108)"
0037.png,"(88, 101, 80)"
0023.png,"(117, 128, 95)"
0209.png,"(115, 110, 110)"
0087.png,"(117, 84, 28)"
0093.png,"(102, 113, 104)"
0044.png,"(98, 105, 126)"
0050.png,"(123, 66, 55)"
0078.png,"(80, 84, 77)"
0130.png,"(156, 140, 124)"
0124.png,"(66, 71, 63)"
0118.png,"(122, 131, 94)"
0119.png,"(100, 98, 79)"
0125.png,"(88, 114, 60)"
0131.png,"(105, 115, 96)"
0079.png,"(125, 77, 90)"
0051.png,"(107, 120, 81)"
0045.png,"(143, 44, 49)"
0092.png,"(142, 144, 101)"
0086.png,"(114, 100, 88)"
0090.png,"(81, 83, 72)"
0084.png,"(144, 146, 150)"
0053.png,"(107, 111, 42)"
0047.png,"(112, 93, 15)"
0127.png,"(129, 103, 43)"
0133.png,"(128, 116, 115)"
0132.png,"(111, 83, 32)"
0126.png,"(108, 114, 119)"
0046.png,"(72, 78, 66)"
0052.png,"(82, 83, 77)"
0085.png,"(102, 83, 86)"
0091.png,"(134, 140, 123)"
0095.png,"(128, 73, 55)"
0081.png,"(167, 94, 86)"
0056.png,"(119, 122, 82)"
0042.png,"(81, 81, 58)"
0122.png,"(128, 86, 26)"
0136.png,"(136, 79, 100)"
0137.png,"(127, 87, 136)"
0123.png,"(68, 72, 61)"
0043.png,"(122, 117, 55)"
0057.png,"(129, 121, 94)"
0080.png,"(103, 112, 42)"
0094.png,"(131, 75, 20)"
0082.png,"(94, 93, 85)"
0096.png,"(85, 90, 79)"
0069.png,"(127, 125, 62)"
0041.png,"(152, 130, 115)"
0055.png,"(126, 130, 139)"
0109.png,"(139, 97, 75)"
0135.png,"(69, 81, 60)"
0121.png,"(111, 131, 94)"
0120.png,"(116, 88, 96)"
0134.png,"(63, 64, 61)"
0108.png,"(104, 111, 99)"
0054.png,"(132, 121, 108)"
0040.png,"(117, 87, 95)"
0068.png,"(151, 142, 139)"
0097.png,"(101, 68, 79)"
0083.png,"(103, 114, 38)"
